[2026-04-03T16:53:44+00:00] [INFO] Correo de prueba enviado | {"recipient":"jcares@pccurico.cl"}
[2026-04-04T08:58:51+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-04T08:58:52+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-04T08:58:53+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-04T08:58:54+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-04T09:58:49+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-04T09:58:49+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-04T09:58:50+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-04T09:58:51+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-04T09:58:52+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-04T09:58:53+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-04T10:58:50+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-04T10:58:50+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-04T10:58:51+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-04T10:58:51+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-04T10:58:53+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-04T10:58:54+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-04T11:58:51+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-04T11:58:51+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-04T11:58:52+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-04T11:58:52+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-04T11:58:54+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-04T11:58:55+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-04T17:46:50+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-04T17:46:50+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-04T17:46:52+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-04T17:46:52+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-04T17:46:54+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-04T17:46:54+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-05T00:19:49+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-05T00:19:49+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-05T00:19:51+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-05T00:19:51+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-05T00:19:53+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-05T00:19:53+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-05T01:36:07+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-05T01:36:07+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-05T01:36:08+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-05T01:36:09+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-05T01:36:11+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-05T01:36:12+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-05T02:05:48+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-05T02:05:48+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-05T02:05:49+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-05T02:05:50+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-05T02:05:51+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-05T02:05:52+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-05T05:42:09+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-05T05:42:09+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-05T05:42:10+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-05T05:42:11+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-05T05:42:12+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-05T05:42:13+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-05T19:09:40+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-05T19:09:40+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-05T19:09:41+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-05T19:09:41+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-05T19:09:43+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-05T19:09:44+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-06T10:01:01+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-06T10:01:01+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-06T10:01:02+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-06T10:01:03+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-06T10:01:05+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-06T10:01:05+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-06T15:16:34+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-06T15:16:34+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-06T15:16:35+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-06T15:16:36+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-06T15:16:37+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-06T15:16:38+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-06T18:07:15+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-06T18:07:15+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-06T18:07:17+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-06T18:07:18+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-06T18:07:19+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-06T18:07:20+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-07T02:10:21+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-07T02:10:21+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-07T02:10:22+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-07T02:10:22+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-07T02:10:24+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-07T02:10:25+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-07T03:08:42+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-07T03:08:42+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-07T03:08:43+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-07T03:08:44+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-07T03:08:45+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-07T03:08:46+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-07T17:38:54+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-07T17:38:55+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-07T17:38:56+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-07T17:38:56+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-07T17:38:58+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-07T17:38:59+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-07T18:17:46+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-07T18:17:46+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-07T18:17:47+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-07T18:17:47+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-07T18:17:49+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-07T18:17:50+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-08T01:05:21+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-08T01:05:21+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-08T01:05:22+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-08T01:05:23+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-08T01:05:24+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-08T01:05:25+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-08T02:22:01+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-08T02:22:01+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-08T02:22:02+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-08T02:22:03+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-08T02:22:04+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-08T02:22:05+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-08T05:02:25+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-08T05:02:25+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-08T05:02:26+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-08T05:02:26+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-08T05:02:28+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-08T05:02:29+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
